No,Hit,Name,Probability,E-value,P-value,Score,SS,Cols,Query HMM,Template,HMM,Query Coverage,Similarity,Identities,Organism
97,9bkk_r,"cholecystokinin receptor type a; cholecystokinin, gpcr, cholesterol, mutant, membrane protein; het: tys; 2.51a ",100.0,4.4e-30,6.4e-35,201.2,34.9,318,"[1, 318]",29-405,427,100.0,0.31,21.0,homo sapiens
98,8x5y_b,"histamine h1 receptor,soluble cytochrome b562; gpcr, membrane protein; het: xb7;",100.0,1.2e-30,1.8e-35,205.3,31.9,313,"[2, 318]",6-409,438,98.428,0.342,25.0,homo sapiens
99,6rz5_a,"cysteinyl leukotriene receptor 1,soluble cytochrome b562,cysteinyl leukotriene receptor 1; gpcr, lcp, membrane protein, cysteinyl leukotriene, ltd4, cyslt1, cysltr1, cyslt1r, asthma, zafirlukast, bril, sodium site, cysteinyl; het: olc, 1pe, ola, zlk; 2.53a ",100.0,3.6e-30,5.2e-35,202.0,34.3,296,"[2, 298]",16-423,423,93.082,0.177,16.0,homo sapiens
100,5x33_a,"ltb4 receptor,lysozyme,ltb4 receptor; helix, membrane protein; het: 7y9; 3.7a ",100.0,3.4e-30,5e-35,207.6,34.9,314,"[2, 318]",9-487,523,98.742,0.187,17.0,cavia porcellus
101,7ejx_r,"probable g-protein coupled receptor 88; gpr88, signaling complex, cryo-em, membrane protein; het: clr, j5f; 2.4a ",100.0,1.4e-30,2e-35,201.6,31.4,301,"[2, 318]",21-372,384,94.654,0.136,19.0,homo sapiens
102,7t32_a,"adenosine receptor a2a/soluble cytochrome b562 fusion protein; a2aar, gpcr, adenosine receptor, membrane protein; het: zma; 3.4a ",100.0,1.7e-30,2.5e-35,201.7,31.9,283,"[14, 296]",1-391,391,88.994,0.818,45.0,homo sapiens
103,8pok_a,"histamine h2 receptor; gpcr, cell-free, h2r, human histamine 2 receptor, active conformation, complex, detergent-free, lipid environment, membrane protein;",100.0,1.4e-29,2e-34,195.1,36.7,313,"[2, 318]",14-330,375,98.428,0.332,24.0,homo sapiens
104,6me6_a,"soluble cytochrome b562,melatonin receptor type 1b,rubredoxin; gpcr, melatonin receptor type 1b (mt2), membrane protein, 2-phenylmelatonin, xfel, lcp, bril, rubredoxin, circadian rhythm, jetlag; het: olc, jey; 2.8a ",100.0,4.3e-30,6.2e-35,203.7,34.6,305,"[3, 314]",107-460,460,95.912,0.309,22.0,escherichia coli
105,8a6d_a,"rhodopsin; gpcr, opsin, membrane protein; het: dao, plm, ret, olc, nag; 1.8a ",100.0,4.8e-30,7.1e-35,195.7,33.7,312,"[2, 318]",27-342,348,98.113,0.287,16.0,bos taurus
106,6me2_a,"chimera protein of melatonin receptor type 1a and glga glycogen synthase; gpcr, melatonin receptor type 1a (mt1), membrane protein, ramelteon, xfel, lcp, pgs, circadian rhythm, jetlag; het: jev, ycm, ola; 2.8a ",100.0,5.2e-30,7.7e-35,205.6,35.5,304,"[2, 312]",8-503,503,95.597,0.342,20.0,homo sapiens
107,8zje_r,"kiss-1 receptor; cryo-em, kisspeptin receptor, gpr54, g proteins, membrane protein, kiss1r; het: nmm, dty; 3.07a ",100.0,6.2e-30,9.1e-35,198.7,34.8,312,"[2, 318]",32-359,398,98.113,0.226,18.0,homo sapiens
108,5lwe_a,"c-c chemokine receptor type 9; membrane protein; het: ola, mli, 79k, clr; 2.8a ",100.0,6e-30,8.8e-35,194.1,33.9,303,"[2, 318]",16-331,331,95.283,0.222,17.0,homo sapiens
109,8x8l_r,"somatostatin receptor type 5; cryo-em, gpcr, somatostatin receptor 5, cortistatin 17, gi, complex, signaling protein; 2.7a ",100.0,3.2e-29,4.6e-34,192.5,38.3,306,"[2, 318]",30-340,364,96.226,0.261,21.0,homo sapiens
110,6tod_b,"orexin receptor type 1; 7tm, gpcr, membrane protein; het: sog, cit, so4, 7ma, pgw, pg4; 2.11a ",100.0,2.9e-30,4.3e-35,196.0,32.3,311,"[2, 316]",12-336,336,97.799,0.275,22.0,homo sapiens
111,7tuz_r,"g-protein coupled receptor 183; ebi2, gpr183, oxysterol, gpcr, signaling, immunity, immunocyte migration, immune system; het: kjx;",100.0,5.1e-30,7.5e-35,198.3,34.2,310,"[2, 318]",23-346,384,97.484,0.259,18.0,homo sapiens
112,2z73_b,"rhodopsin; visual pigment, gq-type, g-protein coupled receptor, chromophore, glycoprotein, lipoprotein, membrane, palmitate, phosphorylation, photoreceptor protein, retinal protein; het: ret, bog, plm, twt, pc1; 2.5a ",100.0,2.6e-30,3.8e-35,204.3,32.9,315,"[2, 318]",24-351,448,99.057,0.33,21.0,todarodes pacificus
113,5ywy_a,"prostaglandin e2 receptor ep4 subtype,prostaglandin e2 receptor ep4 subtype; g-protein coupled receptor, lipid mediator, functional antibody, signaling protein-immune system complex, membrane protein, signaling protein-immune system; het: 7ur; 3.2a ",100.0,3.4e-30,5e-35,195.4,32.3,309,"[1, 318]",6-323,332,97.17,0.182,16.0,homo sapiens
114,8h0p_r,"neuromedin-b receptor; gpcr, neuropeptides, bombesin receptor, nmbr, membrane protein; 3.15a ",100.0,6.1e-30,9e-35,198.2,34.4,318,"[1, 318]",32-360,390,100.0,0.213,15.0,homo sapiens
115,8gdc_r,"prostaglandin e2 receptor ep3 subtype; gpcr complex, signaling protein; het: p2e; 3.5a ",100.0,7.4e-30,1.1e-34,197.7,34.7,317,"[2, 318]",38-382,390,99.686,0.183,18.0,homo sapiens
116,8uo1_r,"beta-2 adrenergic receptor; gpcr, adrenergic, receptor, g protein, signaling protein; het: g1i, gtp;",100.0,1.6e-29,2.3e-34,199.0,37.0,315,"[2, 318]",47-385,437,99.057,0.337,24.0,homo sapiens
117,4grv_a,"neurotensin receptor type 1, lysozyme chimera; g-protein coupled receptor, neurotensin receptor, g-protein, signaling protein-agonist complex; het: epe; 2.802a ",100.0,3.6e-30,5.3e-35,206.8,33.9,317,"[2, 318]",22-506,510,99.686,0.221,17.0,rattus norvegicus
118,8kh4_a,"g-protein coupled receptor 161; gpcr, gs, membrane protein; het: clr;",100.0,9.1e-30,1.3e-34,196.1,34.9,310,"[2, 317]",25-367,373,97.484,0.287,22.0,homo sapiens
119,7o7f_c,"c-c chemokine receptor type 5; g protein-coupled receptor (gpcr)  ccr5  ccl5/rantes  hiv entry  aids  membrane protein;",100.0,1.1e-29,1.5e-34,195.8,35.2,304,"[2, 318]",20-333,372,95.597,0.243,17.0,bos taurus
120,6i9k_a,"kumopsin1; rhodopsin, gpcr, light-sensitive, retinal, membrane protein; het: olc, ret; 2.145a ",100.0,4.7e-30,6.9e-35,198.2,33.3,314,"[2, 318]",40-367,380,98.742,0.261,19.0,hasarius adansoni
121,8hj0_r,"probable g-protein coupled receptor 21; gpcr, orphan receptor, structural protein;",100.0,2.7e-30,3.9e-35,196.2,31.4,308,"[2, 314]",18-336,336,96.855,0.295,22.0,homo sapiens
122,7td0_r,"lysophosphatidic acid receptor 1; gpcr, complex, lipid, membrane protein; het: nkp; 2.83a ",100.0,9.4e-30,1.4e-34,194.6,34.5,300,"[2, 311]",49-350,350,94.34,0.311,22.0,homo sapiens
123,7ew1_a,"sphingosine 1-phosphate receptor 5; homo sapiens, membrane protein; het: j8c;",100.0,2.4e-29,3.5e-34,195.5,37.3,307,"[2, 318]",59-375,394,96.541,0.264,20.0,homo sapiens
124,7k15_a,"leukotriene b4 receptor 1,flavodoxin,leukotriene b4 receptor 1; human leukotriene b4 receptor 1, hblt1, blt1, bltr1, ltb4, ltb4r, lt4r1, ltb4r1, mk-d-046, selective antagonist, inflammation; het: olc, fmn, vrj, 1pe, p6g, 2pe, ola; 2.88a ",100.0,2.5e-30,3.7e-35,206.6,32.7,311,"[2, 315]",31-490,490,97.799,0.218,18.0,homo sapiens
125,8xiq_a,"somatostatin receptor type 3; gpcr, sstr3, l796778, membrane protein; het: a1d5b, fc0, nit, nle; 2.71a ",100.0,1.6e-29,2.4e-34,194.4,36.0,311,"[2, 318]",34-349,369,97.799,0.247,22.0,homo sapiens
126,8iy5_r,"endothelin type b receptor; class a gpcr, endothelin, gi, vasoactive peptide, peptide binding protein; 2.8a ",100.0,3.3e-30,4.9e-35,211.0,34.0,314,"[2, 318]",65-396,609,98.742,0.24,18.0,homo sapiens
127,4ww3_a,"rhodopsin; animals, decapodiformes, inositol 1, 4, 5-trisphosphate, light, models, chemical, photochemistry, protein conformation, rhodopsin, signaling protein; het: ret, plm, twt, bog, pc1; 2.8a ",100.0,4.5e-30,6.6e-35,196.0,32.6,315,"[2, 318]",16-343,350,99.057,0.305,21.0,todarodes pacificus
128,7ddz_a,"human neuropeptide y y2 receptor fusion protein; neuropeptide y y2 receptor, membrane protein; het: fmn, h46; 2.8a ",100.0,4.8e-30,7e-35,212.5,35.2,312,"[2, 315]",203-662,665,98.113,0.283,22.0,enterobacteria phage rb59
129,3pbl_a,"d(3) dopamine receptor, lysozyme chimera; structural genomics, psi-2, psi-biology, protein structure initiative, accelerated technologies center for gene to 3d structure, atcg3d; het: etq, glc; 2.89a ",100.0,2.6e-30,3.7e-35,206.2,32.5,296,"[1, 308]",27-481,481,93.082,0.356,25.0,homo sapiens
130,8hcq_r,"endothelin-1 receptor,oplophorus-luciferin 2-monooxygenase catalytic subunit chimera; et1, etar, gq, scfv16, membrane protein;",100.0,4.9e-30,7.2e-35,210.8,34.8,315,"[2, 318]",128-463,622,99.057,0.285,21.0,homo sapiens
131,8wrb_r,"probable g-protein coupled receptor 34,tag; complex, signaling protein; het: clr, ubl;",100.0,7.7e-30,1.1e-34,207.7,35.7,309,"[2, 318]",97-416,572,97.17,0.182,15.0,homo sapiens
132,8smv_r,"g-protein coupled receptor 161; gpcr, orphan, active, hedgehog, membrane protein; het: clr; 2.74a ",100.0,1.2e-29,1.7e-34,205.3,36.4,311,"[2, 318]",28-371,540,97.799,0.291,22.0,homo sapiens
133,8ww2_r,"g-protein coupled receptor 3; gpcr-g-protein complex, membrane protein; het: plm, ola, y01;",100.0,7.9e-30,1.2e-34,193.3,33.4,299,"[2, 314]",30-329,330,94.025,0.3,24.0,homo sapiens
134,7dfp_a,"d(2) dopamine receptor,soluble cytochrome b562; g-protein coupled receptor, dopamine receptor, spiperone, membrane protein, antipsychotic, schizophrenia; het: sip; 3.1a ",100.0,6.2e-30,9.1e-35,196.3,33.1,280,"[14, 306]",3-360,360,88.05,0.439,28.0,mus musculus
135,8gur_r,"cannabinoid receptor 2; gpcr, g protein, cryo-em, membrane protein, structural protein; het: 9gf; 2.84a ",100.0,1.6e-29,2.4e-34,193.9,35.3,307,"[1, 318]",22-335,360,96.541,0.259,21.0,homo sapiens
136,7xw9_r,"thyrotropin-releasing hormone receptor; trhr, trh, class a gpcr, biosynthetic protein, membrane protein, structural protein;",100.0,1e-29,1.5e-34,197.3,34.5,316,"[2, 318]",15-356,398,99.371,0.217,19.0,homo sapiens
137,7e32_r,"soluble cytochrome b562,5-hydroxytryptamine receptor 1d; serotonin, 5-ht1d, gpcr, complex, g protein, gi, signaling protein; het: clr, sro;",100.0,3.7e-30,5.5e-35,207.0,33.0,294,"[2, 303]",167-516,516,92.453,0.338,22.0,homo sapiens
138,7jhj_r,"bilf1; membrane protein, viral gpcr, class a-like gpcr, epstein-barr virus; het: y01;",100.0,1e-29,1.5e-34,191.5,33.2,284,"[2, 315]",26-315,321,89.308,0.093,13.0,homo sapiens
139,8xbh_r,"probable g-protein coupled receptor 34; gpcr, membrane protein; het: kw3; 2.83a ",100.0,2.2e-29,3.3e-34,195.6,36.3,310,"[1, 318]",52-372,396,97.484,0.19,16.0,homo sapiens
140,7f8y_a,"fusion protein of cholecystokinin receptor type a and endolysin; g protein-coulped receptor, cholecystokinin receptor cckar, devazepide, structural protein; het: 1oz; 2.5a ",100.0,8.9e-30,1.3e-34,205.7,35.3,317,"[2, 318]",40-514,534,99.686,0.276,19.0,homo sapiens
141,6vi4_a,"kappa opioid receptor; g protein-coupled opioid receptor, membrane protein; het: jdc, clr; 3.3a ",100.0,4.3e-29,6.2e-34,187.2,36.6,301,"[5, 310]",1-307,307,94.654,0.229,20.0,homo sapiens
142,8zjd_r,"kiss-1 receptor,kiss-1 receptor,kiss-1 receptor,kiss-1 receptor,kiss-1 receptor, g-protein coupled receptor 54, gpr54, kiss1r; cryo-em, kisspeptin receptor, gpr54, kiss1r, g proteins, membrane protein; 3.06a ",100.0,1.3e-29,1.9e-34,203.8,36.0,312,"[2, 318]",31-358,512,98.113,0.223,18.0,homo sapiens
143,7zl9_a,"hydroxycarboxylic acid receptor 2,soluble cytochrome b562; niacin receptor, hydroxycarboxylic acid receptor 2, hca2, gpcr, membrane protein structure, membrane protein; het: olc, ola; 2.7a ",100.0,1.1e-29,1.6e-34,199.8,34.9,301,"[2, 318]",17-330,431,94.654,0.204,16.0,homo sapiens
144,7l1v_r,"hypocretin receptor type 2; class a gpcr, orexin receptor 2, ox2r, membrane protein, peptide agonist; het: xgd; 3.0a {homo sapiens} scop: f.13.1.0",100.0,4.9e-30,7.2e-35,197.8,32.2,310,"[3, 317]",51-374,374,97.484,0.323,25.0,"unknown"
145,7na7_r,"growth hormone secretagogue receptor type 1; gpcr, appetite, energy homeostasis, reward signaling, membrane protein; het: clr, 1ic; 2.7a ",100.0,1.8e-29,2.7e-34,193.8,35.3,315,"[2, 318]",33-359,366,99.057,0.185,17.0,homo sapiens
146,8u8f_r,"g-protein coupled receptor 3; gpr3, orphan gpcr, gpcr, membrane protein; het: plm;",100.0,8.3e-30,1.2e-34,197.9,33.6,303,"[2, 318]",64-367,390,95.283,0.293,23.0,homo sapiens
147,7srr_r,"5-hydroxytryptamine receptor 2b; 5-ht2b receptor, serotonin receptor, g protein, gpcr, lysergic acid diethylamide, lsd, cryoem, membrane protein; het: 7ld;",100.0,8.1e-30,1.2e-34,195.9,33.2,301,"[1, 306]",8-369,370,94.654,0.359,25.0,homo sapiens
148,7xa3_r,"isoform b of c-c chemokine receptor type 2; gpcr, ccr2, chemokine receptor, membrne protein, membrane protein;",100.0,1.8e-29,2.7e-34,193.6,35.1,301,"[1, 318]",31-341,360,94.654,0.239,15.0,homo sapiens
149,8wz2_r,"pyroglutamylated rf-amide peptide receptor; gpcr, 26rfa, gpr103, pyroglutamylated rfamide peptide, membrane protein; 2.73a ",100.0,1.8e-29,2.6e-34,198.1,35.7,318,"[1, 318]",34-368,431,100.0,0.362,22.0,homo sapiens
150,7x9c_r,"neuropeptide y receptor type 4; pancreatic polypeptide, gi protein, signaling protein; het: tyc;",100.0,2.6e-29,3.8e-34,194.0,36.0,313,"[2, 318]",31-358,380,98.428,0.259,17.0,homo sapiens
151,7xy6_r,"soluble cytochrome b562,adenosine receptor a2b,lgbit; g protein coupled-receptor, membrane protein; het: i5d;",100.0,1.5e-29,2.2e-34,208.2,36.7,315,"[3, 318]",131-459,628,99.057,0.716,38.0,homo sapiens
152,8xio_a,"somatostatin receptor type 1; gpcr, sstr1, l797591, membrane protein/immune system, membrane protein-immune system complex; het: a1d5d; 2.65a ",100.0,1.6e-29,2.4e-34,196.0,35.0,311,"[2, 318]",48-359,391,97.799,0.231,19.0,homo sapiens
153,4xes_a,"neurotensin receptor type 1, endolysin chimera; membrane protein, g protein-coupled receptor, gpcr, neurotensin receptor, ntsr1, signaling protein, hydrolase; het: cit, epe, gol, peg; 2.6a ",100.0,5.3e-30,7.8e-35,207.2,33.6,317,"[2, 318]",22-373,541,99.686,0.228,17.0,rattus norvegicus
154,8pjk_r,"5-hydroxytryptamine receptor 1a; membrane protein; het: zl9, t7m, clr;",100.0,6e-30,8.8e-35,203.3,33.2,295,"[2, 304]",70-466,466,92.767,0.444,29.0,homo sapiens
155,7um4_a,"5-hydroxytryptamine receptor 5a; gpcr, inactive state, membrane protein, 5-ht5ar, htr5a; het: 1pe, peg, pge, nn6, pg4; 2.8a ",100.0,2.4e-29,3.5e-34,191.0,35.0,293,"[1, 301]",8-336,336,92.138,0.305,21.0,homo sapiens
156,7db6_d,"melatonin receptor type 1a; gpcr, g-protein, complex, signaling protein; het: jev; 3.3a ",100.0,2.9e-29,4.2e-34,193.4,36.0,308,"[2, 318]",43-357,372,96.855,0.324,19.0,homo sapiens
157,7ul2_r,"neurotensin receptor 1; antagonist, complex, membrane protein; het: q6q; 2.4a ",100.0,2e-29,3e-34,197.4,35.6,312,"[2, 318]",73-401,419,98.113,0.264,18.0,homo sapiens
158,8j22_c,"free fatty acid receptor 2; ffar2, complex, gpcr, membrane protein; het: 9uj;",100.0,4.9e-29,7.1e-34,187.3,36.2,302,"[6, 318]",1-309,311,94.969,0.147,15.0,homo sapiens
159,7jvp_r,"d(1a) dopamine receptor; dopamine receptor 1, gi protein, skf-83959, signaling protein; het: clr, plm, sk9; 2.9a ",100.0,2.9e-29,4.3e-34,201.2,37.0,316,"[2, 318]",61-414,502,99.371,0.365,23.0,homo sapiens
160,7bb6_a,"vasopressin v2 receptor; signaling protein, g protein-coupled receptor, hormone, vasopressin, v2r, membrane protein;",100.0,2.2e-29,3.2e-34,198.4,35.6,316,"[2, 318]",66-400,440,99.371,0.148,16.0,homo sapiens
161,7wq3_r,"galanin receptor type 1; gpcr, galanin receptor 1, galanin, gi, membrane protein; het: clr;",100.0,2.7e-29,3.9e-34,191.7,35.1,309,"[2, 318]",23-339,349,97.17,0.373,24.0,homo sapiens
162,7w41_a,"gastrin-releasing peptide receptor,glga glycogen synthase; gpcr, gastrin releasing peptide receptor, membrane protein; het: 8b8; 2.952a ",100.0,7.2e-30,1.1e-34,203.7,33.2,288,"[10, 297]",1-484,484,90.566,0.283,21.0,homo sapiens
163,7t10_r,"somatostatin receptor type 2,kappa-type opioid receptor; gpcr, receptor, complex, membrane protein, membrane protein-signaling protein complex; 2.5a ",100.0,1.5e-29,2.2e-34,197.6,34.1,311,"[2, 318]",72-387,408,97.799,0.292,23.0,homo sapiens
164,8f7w_r,"kappa-type opioid receptor; kappa opioid receptor, g protein coupled receptor, dynorphin, signaling protein; het: clr, plm; 3.19a ",100.0,2.3e-29,3.4e-34,194.2,34.8,312,"[2, 318]",47-364,378,98.113,0.225,20.0,homo sapiens
165,7f2o_r,"b2 bradykinin receptor; gpcr, complex, membrane protein;",100.0,1e-29,1.5e-34,208.0,34.5,310,"[2, 318]",114-435,595,97.484,0.249,20.0,homo sapiens
166,8j21_d,"free fatty acid receptor 3; ffar3, gpcr, complex, membrane protein;",100.0,1.6e-29,2.3e-34,190.3,33.0,304,"[2, 318]",4-312,314,95.597,0.21,16.0,homo sapiens
167,7xjl_f,"galanin receptor type 2; gpcr, galanin receptor 2, minigq, spexin, signaling protein;",100.0,3.6e-29,5.2e-34,189.7,35.2,302,"[2, 312]",25-332,332,94.969,0.301,22.0,homo sapiens
168,7xat_a,"somatostatin receptor type 2,largebit; g protein coupled receptor, cryo-em, sst analogues, polypeptide drugs, membrane protein;",100.0,3e-29,4.4e-34,203.9,36.9,311,"[2, 318]",79-394,563,97.799,0.293,23.0,homo sapiens
169,8wss_r,"melanin-concentrating hormone receptor 1; melanin-concentrating hormone receptors1, gpcr, membrane protein;",100.0,4.3e-29,6.3e-34,194.4,36.3,310,"[2, 318]",34-351,402,97.484,0.204,18.0,homo sapiens
170,7wj5_r,"soluble cytochrome b562,somatostatin receptor type 2; gpcr, agonist, heterotrimeric g-protein, camp, membrane protein, membrane protein-immune system complex;",100.0,3.8e-29,5.6e-34,201.2,37.0,311,"[2, 318]",182-497,518,97.799,0.29,23.0,homo sapiens
171,8zrk_r,"glucose-dependent insulinotropic receptor; gpr119, gsk-1292263, membrane protein; het: a1d8y; 2.82a ",100.0,1.8e-29,2.6e-34,194.4,33.8,310,"[2, 318]",28-349,369,97.484,0.216,20.0,homo sapiens
172,8sai_a,"probable g-protein coupled receptor 34; complex, agonist, membrane protein, lipid binding protein; het: s12; 3.27a ",100.0,3.8e-29,5.5e-34,198.8,36.5,310,"[1, 318]",136-456,466,97.484,0.188,16.0,homo sapiens
173,7x5h_r,"soluble cytochrome b562,5-hydroxytryptamine receptor 5a,hydroxytryptamine receptor 5a; serotonin, 5-ht, gpcr, gi, 5-ct, membrane protein; het: 8k3;",100.0,4.5e-29,6.6e-34,207.1,38.3,310,"[1, 318]",189-534,690,97.484,0.279,20.0,homo sapiens
174,8uh3_d,"5-hydroxytryptamine receptor 1e; complex, gpcr, signaling protein; het: woq, clr; 3.31a ",100.0,8.2e-30,1.2e-34,195.7,31.6,295,"[2, 303]",12-365,365,92.767,0.33,24.0,homo sapiens
175,8k6o_d,"neuropeptide y receptor type 1; neuropeptide y receptor 1, complex, membrane protein;",100.0,4.6e-29,6.7e-34,189.8,35.4,299,"[2, 303]",30-341,341,94.025,0.293,18.0,homo sapiens
176,7ymj_a,"alpha1a-adrenergic receptor; gpcr, nanobody, antagonist, complex, membrane protein; het: jgx; 3.35a ",100.0,6.4e-29,9.4e-34,190.8,36.4,303,"[2, 318]",40-346,362,95.283,0.371,23.0,homo sapiens
177,7cx4_r,"prostaglandin e2 receptor ep2 subtype; gpcr, ep2, complex, evatanepag, membrane protein; het: gm9;",100.0,1.4e-29,2.1e-34,193.9,32.8,309,"[2, 318]",11-351,358,97.17,0.172,15.0,homo sapiens
178,7xtb_r,"soluble cytochrome b562,5-hydroxytryptamine receptor 6; gpcr, serotonin receptor, 5-ht, 5-ht6 receptor, signaling complex, cryo-em structure, ligand selectivity, g protein selectivity, structure-function; het: sro; 3.3a ",100.0,2.4e-29,3.5e-34,205.4,35.9,312,"[2, 318]",160-500,584,98.113,0.262,21.0,homo sapiens
179,8x79_r,"prostacyclin receptor; agonist, complex, lipid receptor, signaling protein; het: y9q; 2.41a ",100.0,1.4e-29,2e-34,196.1,32.9,315,"[1, 318]",2-328,386,99.057,0.109,13.0,homo sapiens
180,7xk8_r,"neuromedin-u receptor 2; gpcr, complex, membrane protein;",100.0,2.8e-29,4.1e-34,194.7,34.5,314,"[4, 318]",47-373,393,98.742,0.279,21.0,homo sapiens
181,3v2y_a,"sphingosine 1-phosphate receptor 1, lysozyme chimera (e.c.3.2.1.17); sphingosine, edg receptor, lipid receptor, multiple sclerosis, autoimmunity, structural genomics, psi-biology, gpcr network, gpcr, membrane protein; het: nag, ml5; 2.8a ",100.0,2.2e-29,3.2e-34,202.8,34.9,307,"[2, 318]",53-512,520,96.541,0.308,20.0,homo sapiens
182,5zbh_a,"neuropeptide y receptor type 1,t4 lysozyme,neuropeptide y receptor type 1; g protein-coupled receptor neuropeptide y y1 receptor inhibitor complex structure, signaling protein; het: 9af; 3.0a ",100.0,2.6e-29,3.8e-34,202.7,35.5,315,"[2, 318]",39-517,527,99.057,0.27,17.0,homo sapiens
183,7ul3_a,"histamine h2 receptor; antagonist, complex, membrane protein; het: fo9; 3.0a ",100.0,4.3e-29,6.3e-34,194.3,35.5,309,"[2, 318]",47-359,400,97.17,0.334,23.0,homo sapiens
184,6kuw_a,"alpha-2c adrenergic receptor; alpha2c adrenergic receptor, antagonist, gpcr, signaling protein; het: clr, e33, olc, ola; 2.8a ",100.0,2.9e-29,4.3e-34,200.7,35.5,294,"[2, 303]",13-496,496,92.453,0.351,24.0,homo sapiens
185,8jz7_a,"hydroxycarboxylic acid receptor 2; complex, agonist, membrane protein; het: fi7; 2.6a ",100.0,6.8e-29,9.9e-34,193.1,36.6,301,"[2, 318]",51-364,397,94.654,0.216,17.0,homo sapiens
186,6ibl_b,"thioredoxin 1,beta-1 adrenergic receptor; beta1 adrenoceptor, activated, agonist, nanobody, immune system; het: h98, 2cv; 2.7a ",100.0,2e-29,3e-34,197.3,33.8,308,"[4, 313]",104-416,416,96.855,0.38,26.0,escherichia coli (strain k12)
187,8jln_r,"soluble cytochrome b562,trace amine-associated receptor 1; complex, agonist, membrane protein, membrane protein-immune system complex; het: ujf;",100.0,3.2e-29,4.7e-34,199.4,35.3,316,"[2, 317]",144-470,470,99.371,0.285,24.0,homo sapiens
188,6rnk_a,"succinate receptor 1; sucnr1, gpr91, gpcr, g-protein coupled receptor, nanobody, antagonist, succinate, complex, membrane protein; het: kaz, olc; 1.94a {rattus norvegicus} scop: f.13.1.0",100.0,2.4e-29,3.5e-34,191.5,33.3,307,"[2, 318]",16-333,342,96.541,0.128,17.0,"unknown"
189,7td4_r,"sphingosine 1-phosphate receptor 1; gpcr, complex, lipid, membrane protein; het: nag, j8c; 2.6a ",100.0,6.6e-29,9.7e-34,192.9,36.3,307,"[2, 318]",45-357,392,96.541,0.273,20.0,bos taurus
190,7f58_r,"melanocortin receptor 4; single particle, membrane protein, class a g-protein-coupled receptors; het: 1i8;",100.0,2.1e-29,3.1e-34,202.3,34.3,293,"[2, 318]",36-340,507,92.138,0.323,21.0,homo sapiens
191,7c4s_a,"sphingosine 1-phosphate receptor 3; g protein-coupled receptor, signaling protein, agonist, natural ligand, lysophospholipid, regulator of immune system and vascular integrity.; het: s1p; 3.2a ",100.0,8.7e-29,1.3e-33,191.2,36.6,303,"[1, 318]",28-334,378,95.283,0.32,19.0,mus musculus
192,6jod_a,"type-2 angiotensin ii receptor; g protein-coupled receptor, regulator of blood pressure, signaling protein; 3.2a ",100.0,4.8e-29,7e-34,187.4,34.2,298,"[4, 310]",2-312,312,93.711,0.216,16.0,mus musculus
193,5o9h_b,"c5a anaphylatoxin chemotactic receptor 1; gpcr, 7tm, signalling protein, membrane protein; het: 9p2, tla, cit, ola; 2.7a ",100.0,6.3e-29,9.3e-34,187.2,34.8,299,"[5, 318]",1-307,317,94.025,0.233,17.0,homo sapiens
194,8hqc_a,"c5a anaphylatoxin chemotactic receptor 1; gpcr, g protein, signaling protein, signaling protein-immune system complex;",100.0,6.3e-29,9.2e-34,194.0,35.9,303,"[2, 318]",83-393,407,95.283,0.254,19.0,mus musculus
195,7vh0_a,"melatonin receptor type 1b; g protein coupled receptor, membrane protein; het: jev;",100.0,6.5e-29,9.6e-34,190.5,35.4,308,"[2, 318]",30-344,362,96.855,0.304,22.0,homo sapiens
196,8dpi_a,"5-hydroxytryptamine receptor 2c; gpcr, membrane protein; het: t4u, clr;",100.0,4.4e-29,6.4e-34,197.7,35.4,310,"[2, 318]",43-404,458,97.484,0.353,25.0,homo sapiens
197,7exd_r,"soluble cytochrome b562,5-hydroxytryptamine receptor 1f; gpcr, serotonin, gi, membrane protein; het: 05x; 3.4a ",100.0,1.4e-29,2e-34,203.3,32.9,291,"[2, 301]",153-506,506,91.509,0.338,22.0,homo sapiens
198,7dw9_r,"vasopressin v2 receptor; v2r, gpcr, cryo-em, avp, membrane protein; het: clr;",100.0,2.4e-29,3.5e-34,207.4,35.1,316,"[2, 318]",143-477,645,99.371,0.156,17.0,homo sapiens
199,7qvm_r,"oxytocin receptor; gpcr, otr, g protein, ot, scfv16, mgoqi, oxytocin, membrane protein, signaling protein; 3.25a ",100.0,2.5e-29,3.7e-34,192.6,33.0,305,"[2, 312]",29-359,359,95.912,0.259,18.0,homo sapiens
200,7ryc_o,"oxytocin receptor; hormone, gpcr complex, transmembrane receptor, oxytocin receptor, otr, ot, oxtr, g protein, oxytocin, vasotocin, membrane protein;",100.0,2.4e-29,3.6e-34,198.9,33.8,311,"[2, 318]",84-420,450,97.799,0.249,18.0,homo sapiens
201,7w56_r,"neuromedin u receptor 1; cryo-em, gpcr, neuromedin s, neuromedin u receptor 1, gq, complex, signaling protein;",100.0,1.5e-29,2.2e-34,211.5,34.2,314,"[5, 318]",209-548,755,98.742,0.292,20.0,homo sapiens
202,8k3z_a,"c-x-c chemokine receptor type 4; chemokine receptor, cxcr4, immune system; 2.81a ",100.0,5.7e-29,8.3e-34,185.8,34.0,281,"[2, 299]",4-295,296,88.365,0.217,19.0,homo sapiens
